hotel_name,location,GPS,link,rating,rating_desc,reviews,description
Maison d'hoursentut,Sainte-Marie-de-Campan,"0.229237,42.951896",booking.com//hotel/fr/maison-d-39-hoursentut.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=11&hpos=11&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,6",Superbe,200 expériences vécues,"Située à Sainte-Marie-de-Campan, à 13 km du lac de Payolle, la Maison d'hoursentut propose un restaurant, un parking privé gratuit, un bar et un salon commun."
L'Etape Gasconne,Allemans-du-Dropt,"0.288715964401263,44.6273523220569",booking.com//hotel/fr/l-39-etape-gasconne.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=12&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,0",Très bien,240 expériences vécues,"Doté d'une piscine extérieure, d'un bar et d'un restaurant, l'hôtel L'Etape Gasconne est installé à Allemans-du-Dropt. Vous y apprécierez une connexion Wi-Fi gratuite."
HOTEL L'AMERIVIERE***,Aubrives,"4.76247799999999,50.103187",booking.com//hotel/fr/l-39-ameriviere.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=13&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,8",Superbe,201 expériences vécues,"HÔTEL Situé à Aubrives, l'établissement L'AMERIVIERE*** possède un restaurant, un bar, un salon commun et un jardin. Il propose des chambres familiales et une aire de jeux pour enfants."
B&B Villa La Lorraine,Folkling,"6.89363159999994,49.1483756",booking.com//hotel/fr/villa-la-lorraine.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=14&hpos=14&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,7",Superbe,74 expériences vécues,"Le B&B Villa La Lorraine est situé à Folkling. Cette chambre d’hôtes se trouve à côté d'une église. Elle dispose d'un barbecue, d'un four à pizza et d'une vue sur la plaine environnante."
Les Hauts du Maquis by Actisource,Linguizzetta,"9.53324558213353,42.213697604715",booking.com//hotel/fr/les-hauts-du-maquis.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=15&hpos=15&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,4",Très bien,150 expériences vécues,"L'établissement climatisé et acceptant les animaux domestiques Les Hauts du Maquis by Actisource se situe à Linguizzetta, à 2,6 km de la plage. Corte est à 60 km."
Les gerbes,Arras-en-Lavedan,"-0.118908000000033,43.00045",booking.com//hotel/fr/chambres-d-hotes-les-gerbes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=16&hpos=16&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,8",Superbe,161 expériences vécues,"Située à Arras-en-Lavedan, un village à 681 mètres d'altitude, la maison d'hôtes Les gerbes est une élégante maison d'hôtes dotée d'un jacuzzi et d'une grande terrasse offrant une vue panoramique sur..."
Les Temps Perdus,Préhy,"3.76012727282921,47.756444699745",booking.com//hotel/fr/domaine-des-temps-perdus.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=17&hpos=17&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,5",Très bien,61 expériences vécues,"Situé à Préhy, le Domaine des temps perdus propose un hébergement. Vous profiterez gratuitement d'une connexion Wi-Fi dans l'ensemble de son enceinte et d'un parking privé sur place."
Maison Rives - Village du Livre de Montolieu,Montolieu,"2.21500508487225,43.3115926728378",booking.com//hotel/fr/maison-rives.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=18&hpos=18&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,6",Superbe,78 expériences vécues,La Maison Rives - Village du Livre de Montolieu se situe à 17 km de la gare de Carcassonne. Ses élégantes chambres comprennent une connexion Wi-Fi gratuite.
Gîte du Chalet Pietri,Olivese,"9.05706882476807,41.8449287517246",booking.com//hotel/fr/gite-du-chalet-pietri.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=19&hpos=19&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,1",Fabuleux,356 expériences vécues,"Situé dans le village d'Olivese, à 5 km de la rivière Taravo, le Gîte du Chalet Pietri propose un jardin et une terrasse ombragée offrant une vue panoramique sur la vallée du Taravo."
Gites d'Armor,Treguidel,"-2.95443222453696,48.6016846458513",booking.com//hotel/fr/cottages-les-cotes-d-39-armor.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=20&hpos=20&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,0",Fabuleux,46 expériences vécues,"Situés à Treguidel, les Gîtes d'Armor sont dotés d'une piscine chauffée ouverte en saison. Le stationnement privé sur place est gratuit."
Logis Auberge De L'Omois,Baulne-en-Brie,"3.61420825123787,48.9871295428819",booking.com//hotel/fr/logis-auberge-de-l-omois.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=21&hpos=21&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"8,3",Très bien,39 expériences vécues,"Le Logis Auberge de l'Omois se situe dans un petit village champenois, à mi-chemin entre Épernay, capitale de la région Champagne et Château-Thierry."
Ace Motel Athée,Athée-sur-Cher,"0.889470130205154,47.3023384447577",booking.com//hotel/fr/ace-motel-athee.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=22&hpos=22&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"7,7",Bien,871 expériences vécues,"L'Ace Motel Atheé est situé dans le Val de Cher, sur l'autoroute A85, à 21 km de Tours et à 50 minutes de route du zoo de Beauval."
Chateau de Briançon,Bauné,"-0.351970255294759,47.5021204138333",booking.com//hotel/fr/chateau-de-briancon.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=23&hpos=23&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,0",Fabuleux,936 expériences vécues,"Installé dans un château du XVIIe siècle, le Château de Briançon se trouve à 3 km du centre-ville de Bauné et à 19 km d'Angers. Ce B&B possède un jardin, une terrasse et une connexion Wi-Fi gratuite."
Les Cailloux Dorés,Massillargues-Attuech,"4.025662,44.026067",booking.com//hotel/fr/les-cailloux-dores.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=24&hpos=24&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,5",Exceptionnel,97 expériences vécues,"Situé à Massillargues-Attuech, l'établissement Les Cailloux Dorés dispose d'une piscine extérieure, d'un bar, d'un salon commun et d'un jardin."
La petite maison - L'Ouche Charlot,Maux,"3.75766,47.06157",booking.com//hotel/fr/la-petite-maison-maux.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=b2bdd28b4f3c0d956a088a3e6e406de2&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=25&hpos=25&no_rooms=1&sr_order=popularity&srepoch=1632872007&srpvid=a5bca5a2c8b800a2&ucfs=1&from=searchresults,"9,2",Fabuleux,109 expériences vécues,"Situé à Maux, l'établissement La petite maison - L'Ouche Charlot propose un hébergement avec une piscine privée, une vue sur la piscine et un balcon. Vous séjournerez à 50 km de Nevers."
Les Ecuries du SEQUE,Saint-Martin-de-Seignanx,"-1.40158064477464,43.5190179902473",booking.com//hotel/fr/les-ecuries-du-seque.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=26&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"9,3",Fabuleux,108 expériences vécues,"Doté d'un jardin et d'une connexion Wi-Fi gratuite, l'établissement Les Ecuries du SEQUE propose des hébergements offrant une vue sur le jardin à Saint-Martin-de-Seignanx."
Hôtel Caudron,Rue,"1.67512536048889,50.2717226594051",booking.com//hotel/fr/caudron.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=27&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"7,8",Bien,592 expériences vécues,"Situé dans le nord de la France, l'Hotel Caudron se trouve à seulement 200 mètres de la gare de Rue et à 7 km de la plage. Saint-Valéry-sur-Somme se trouve à 20 km."
"The Originals Boutique, Hôtel Le Lion d'Or, Fougères Ouest (Inter-Hotel)",Saint-Brice-en-Coglès,"-1.36684602490277,48.4111210835601",booking.com//hotel/fr/inter-le-lion-d-or.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=28&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"8,3",Très bien,569 expériences vécues,"L’établissement The Originals Boutique, Hôtel Le Lion d'Or, Fougères Ouest (Inter-Hotel) est situé dans le village de Saint-Brice-en-Coglès, à seulement 30 minutes de route de Pontorson et à proximité..."
Bubble Dreams,Coupéville,"4.62368592883604,48.908958703216",booking.com//hotel/fr/bubble-dreams.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=29&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"8,2",Très bien,89 expériences vécues,"Doté d'une connexion Wi-Fi gratuite, d'un barbecue et d'une terrasse bien exposée, le Bubble Dreams propose un hébergement à Coupéville, à 20 km de Châlons-en-Champagne."
Le Louisiane,Soorts-Hossegor,"-1.39686937328986,43.664291910375",booking.com//hotel/fr/le-louisiane-soorts-hossegor.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=30&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"8,2",Très bien,149 expériences vécues,"Situé à Soorts-Hossegor, à seulement 10 minutes de route de l'océan Atlantique, l'établissement Le Louisiane possède un restaurant et met gratuitement à votre disposition une connexion Wi-Fi dans ses..."
Les Mariesis,Osmanville,"-1.081075,49.3284871",booking.com//hotel/fr/les-mariesis-osmanville.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=31&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"9,4",Fabuleux,47 expériences vécues,"Situé à Osmanville, en Basse-Normandie, l'établissement Les Mariesis propose un hébergement avec un parking privé gratuit."
Le Moulin du Bas Pesé,Mont-près-Chambord,"1.4348012204573,47.5347286723604",booking.com//hotel/fr/le-moulin-a-eau-du-bas-pesa-c.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=32&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"8,2",Très bien,340 expériences vécues,"L'établissement Le Moulin du Bas Pesé est situé dans la région du Loir-et-Cher. En voiture, les châteaux de Cheverny et de Chambord vous attendent à 10 et 20 minutes, respectivement."
La Parisienne des Amognes,Montigny-aux-Amognes,"3.30520302057266,47.0210114895195",booking.com//hotel/fr/la-parisienne-aux-amognes.fr.html?label=gen173nr-1BCAEoggI46AdIM1gEaLUBiAEBmAENuAEXyAEM2AEB6AEBiAIBqAIDuALDxM2KBsACAdICJGMxZDE4N2EwLTZlNmEtNDdiOS1hMDUyLTExMTM4YjkwMjQ5MtgCBeACAQ&sid=ee5ab8b25e078512efa8cebaf6bed06f&dest_id=73&dest_type=country&group_adults=2&group_children=0&hapos=33&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632872010&srpvid=342da5a40d3200d3&ucfs=1&from=searchresults,"9,6",Exceptionnel,69 expériences vécues,"Située à 1,6 km du centre de Montigny-aux-Amognes, dans une propriété construite au XIXe siècle, la maison d'hôtes La Parisienne des Amognes possède un jardin et une terrasse bien exposée."
